Product ID,Product Name,Category,Sub-Category,Record_Count,Total_Sales,First_Order_Date,Last_Order_Date
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,6,11046.61,2015-09-20,2018-06-25
FUR-BO-10002213,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,4,1875.03,2016-07-25,2018-11-25
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,9,1784.08,2015-02-11,2018-12-25
FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs,5,463.1,2017-09-05,2018-07-06
FUR-FU-10001473,DAX Wood Document Frame,Furniture,Furnishings,9,477.8,2015-03-21,2018-12-23
FUR-FU-10001473,"Eldon Executive Woodline II Desk Accessories, Mahogany",Furniture,Furnishings,5,361.87,2015-11-18,2018-12-13
FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Furnishings,4,1010.78,2016-11-28,2018-04-07
FUR-FU-10004017,"Executive Impressions 13"" Chairman Wall Clock",Furniture,Furnishings,3,253.8,2015-04-19,2018-11-29
FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furniture,Furnishings,6,1042.07,2015-04-15,2018-12-14
FUR-FU-10004091,"Eldon 200 Class Desk Accessories, Black",Furniture,Furnishings,2,75.36,2015-11-09,2017-02-05
FUR-FU-10004270,"Eldon Image Series Desk Accessories, Burgundy",Furniture,Furnishings,8,111.19,2015-12-12,2018-12-03
FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock",Furniture,Furnishings,8,315.37,2015-03-18,2018-02-16
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,9,1324.8,2016-07-11,2018-09-29
FUR-FU-10004848,DAX Solid Wood Frames,Furniture,Furnishings,3,113.33,2017-05-06,2018-07-17
FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings,7,1636.86,2015-01-07,2018-09-19
FUR-FU-10004864,Eldon 500 Class Desk Accessories,Furniture,Furnishings,5,137.6,2017-08-01,2018-10-02
OFF-AP-10000576,"Belkin 325VA UPS Surge Protector, 6'",Office Supplies,Appliances,4,1379.17,2016-11-05,2018-10-01
OFF-AP-10000576,Belkin 7 Outlet SurgeMaster II,Office Supplies,Appliances,3,631.68,2015-07-14,2017-09-26
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Art,5,73.15,2016-02-08,2018-09-04
OFF-AR-10001149,"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies,Art,2,7.8,2015-11-10,2016-12-10
OFF-BI-10002026,Avery Arch Ring Binders,Office Supplies,Binders,10,1318.87,2015-05-11,2018-04-09
OFF-BI-10002026,Ibico Recycled Linen-Style Covers,Office Supplies,Binders,3,312.48,2016-05-03,2018-03-05
OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,Office Supplies,Binders,11,5398.32,2015-01-06,2018-09-04
OFF-BI-10004632,GBC Binding covers,Office Supplies,Binders,3,137.27,2016-08-10,2018-12-30
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,8,91.74,2015-09-23,2018-06-29
OFF-BI-10004654,VariCap6 Expandable Binder,Office Supplies,Binders,3,122.83,2015-02-11,2018-04-15
OFF-PA-10000357,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Office Supplies,Paper,6,909.98,2016-03-31,2018-07-02
OFF-PA-10000357,Xerox 1888,Office Supplies,Paper,6,1231.66,2015-11-19,2018-12-03
OFF-PA-10000477,Xerox 1952,Office Supplies,Paper,3,87.65,2015-10-31,2017-12-23
OFF-PA-10000477,Xerox 22,Office Supplies,Paper,3,75.17,2016-02-15,2018-11-23
OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Office Supplies,Paper,4,406.46,2015-01-19,2018-05-12
OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Office Supplies,Paper,3,94.93,2015-08-05,2017-12-10
OFF-PA-10001166,Xerox 2,Office Supplies,Paper,9,137.38,2015-06-20,2018-05-27
OFF-PA-10001166,Xerox 1932,Office Supplies,Paper,1,85.06,2016-12-11,2016-12-11
OFF-PA-10001970,Xerox 1881,Office Supplies,Paper,12,454.36,2015-07-11,2018-08-07
OFF-PA-10001970,Xerox 1908,Office Supplies,Paper,7,1712.99,2016-09-04,2018-12-20
OFF-PA-10002195,Xerox 1966,Office Supplies,Paper,6,79.06,2015-03-17,2018-08-24
OFF-PA-10002195,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",Office Supplies,Paper,5,53.85,2015-10-31,2018-10-21
OFF-PA-10002377,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",Office Supplies,Paper,7,172.67,2016-02-25,2018-11-25
OFF-PA-10002377,Xerox 1916,Office Supplies,Paper,7,831.98,2015-08-01,2018-03-20
OFF-PA-10003022,Xerox 1992,Office Supplies,Paper,4,86.11,2015-05-21,2018-11-03
OFF-PA-10003022,Standard Line “While You Were Out” Hardbound Telephone Message Book,Office Supplies,Paper,2,211.01,2017-04-16,2018-12-08
OFF-ST-10001228,Personal File Boxes with Fold-Down Carry Handle,Office Supplies,Storage,5,177.61,2016-03-16,2018-12-22
OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy",Office Supplies,Storage,4,284.72,2015-07-25,2017-12-10
OFF-ST-10004950,Acco Perma 3000 Stacking Storage Drawers,Office Supplies,Storage,6,373.44,2015-11-10,2018-09-04
OFF-ST-10004950,"Tenex Personal Filing Tote With Secure Closure Lid, Black/Frost",Office Supplies,Storage,5,279.18,2016-12-28,2018-09-24
TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,Technology,Accessories,8,4389.25,2016-09-04,2018-10-07
TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories,7,9367.29,2015-12-31,2018-08-18
TEC-AC-10002550,Maxell 4.7GB DVD-RW 3/Pack,Technology,Accessories,4,146.56,2015-04-30,2016-12-10
TEC-AC-10002550,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",Technology,Accessories,4,472.86,2015-11-30,2018-07-23
TEC-AC-10003832,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,9,1007.15,2015-11-12,2018-12-05
TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology,Accessories,9,10196.6,2015-11-15,2018-07-11
TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,Technology,Machines,3,2359.94,2015-03-18,2018-10-16
TEC-MA-10001148,Okidata MB491 Multifunction Printer,Technology,Machines,2,2844.3,2017-03-13,2018-07-03
TEC-PH-10001530,Cisco Unified IP Phone 7945G VoIP phone,Technology,Phones,6,6751.6,2015-08-09,2017-09-02
TEC-PH-10001530,Plantronics Voyager Pro Legend,Technology,Phones,3,1359.53,2015-05-21,2017-08-14
TEC-PH-10001795,ClearOne CHATAttach 160 - speaker phone,Technology,Phones,4,6695.89,2015-11-01,2018-12-02
TEC-PH-10001795,RCA H5401RE1 DECT 6.0 4-Line Cordless Handset With Caller ID/Call Waiting,Technology,Phones,1,239.97,2016-05-30,2016-05-30
TEC-PH-10002200,Aastra 6757i CT Wireless VoIP phone,Technology,Phones,6,2929.98,2016-11-02,2018-11-10
TEC-PH-10002200,Samsung Galaxy Note 2,Technology,Phones,2,4507.9,2017-12-25,2018-09-09
TEC-PH-10002310,Plantronics Calisto P620-M USB Wireless Speakerphone System,Technology,Phones,4,2508.67,2016-04-17,2018-11-26
TEC-PH-10002310,Panasonic KX T7731-B Digital phone,Technology,Phones,2,459.95,2015-08-04,2017-07-07
TEC-PH-10004531,OtterBox Commuter Series Case - iPhone 5 & 5s,Technology,Phones,4,285.87,2016-04-11,2018-11-11
TEC-PH-10004531,AT&T CL2909,Technology,Phones,3,755.94,2015-04-25,2018-12-02
